iter	Passed	Remaining
0	5	529
1	10	510
2	15	507
3	19	473
4	24	462
5	28	453
6	33	445
7	38	439
8	45	458
9	51	467
10	56	458
11	60	445
12	64	434
13	69	428
14	74	423
15	78	413
16	82	404
17	86	396
18	91	388
19	95	380
20	99	372
21	103	366
22	109	367
23	114	363
24	121	364
25	127	363
26	134	364
27	139	359
28	146	357
29	150	351
30	155	346
31	160	340
32	166	337
33	171	333
34	175	326
35	179	319
36	184	313
37	188	307
38	192	301
39	197	295
40	200	289
41	202	279
42	206	273
43	210	267
44	214	261
45	218	256
46	222	251
47	226	245
48	231	240
49	235	235
50	239	230
51	243	225
52	248	220
53	252	215
54	255	208
55	258	203
56	262	198
57	266	192
58	270	187
59	279	186
60	283	181
61	288	176
62	292	171
63	295	166
64	299	161
65	303	156
66	307	151
67	311	146
68	316	142
69	320	137
70	324	132
71	329	127
72	333	123
73	337	118
74	341	113
75	345	109
76	349	104
77	353	99
78	357	95
79	361	90
80	364	85
81	369	81
82	374	76
83	378	72
84	384	67
85	388	63
86	392	58
87	396	54
88	400	49
89	403	44
90	407	40
91	411	35
92	414	31
93	418	26
94	422	22
95	427	17
96	432	13
97	436	8
98	441	4
99	446	0
